"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Mountain Biking","MTB","","","","2025-08-26","","34065.640625","","","","","1.9606419801712","4.82600021362305","","","","146","176","","","0.743237476564476","122.03","11","31","40","41","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-08-30","","0","","","","","1.2303239107132","0","","","","143","170","","","0.631160074543397","54.59","0","59","12","3","0","","","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2025-09-03","","21925.380859375","210","569","753.262","","0.999453067779541","6.0939998626709","","73","","144","177","","","0.748921314140531","55.84","5","13","28","15","0","","","","","","20","26","8","1","1","4","0","","","","",""
"Strength","Strength","","","","2025-09-04","","0","","","","","1.22496557235718","0","","","","121","157","","","0.609897981829067","50.74","25","44","8","0","0","","","","","","","","","","","","","","","","",""
"3x8x30-30","Bike","","1.5125","","2025-09-06","","54449.23046875","196","705","1291.095","","1.83231806755066","8.25399971008301","","85","","152","189","","","0.722547970194137","95.73","3","21","54","23","15","","","","","","65","26","6","2","4","8","1","","","","7","1"
"Road Cycling","Bike","","","","2025-09-07","","57676.4609375","195","532","1359.36","","1.94575881958008","8.23400020599365","","81","","142","174","","","0.650273878226556","82.05","6","38","68","12","0","","","","","","49","45","15","7","1","1","0","","","","",""
"Road Cycling","Bike","","","","2025-09-08","","14543.0302734375","169","361","364.605","","0.600275814533234","6.73000001907349","","79","","133","150","","","0.54744251952629","17.76","6","15","18","0","0","","","","","","20","14","1","0","0","0","0","","","","",""
"Road Cycling","Bike","","","","2025-09-10","","49159.19140625","174","893","1141.392","","1.82960498332977","7.46400022506714","","78","","135","180","","","0.677619284720801","83.87","10","66","24","12","3","","","","","","73","25","5","1","0","2","4","","","","7","3"
"Road Cycling","Bike","","","","2025-09-11","","32727.689453125","192","1312","849.712","","1.23491704463959","7.36199998855591","","80","","139","173","","","0.82100088369328","82.61","6","30","37","7","0","","","","","","43","16","9","5","0","0","1","","","","8","3"
"Road Cycling","Bike","","","","2025-09-12","","36542.0390625","202","1481","941.453","","1.29549777507782","7.83500003814697","","82","","144","182","","","0.816144715641067","85.64","3","23","40","16","1","","","","","","40","20","11","6","0","0","1","","","","7","3"
"Road Cycling","Bike","","","","2025-09-13","","35264.66015625","216","764","877.118","","1.130704164505","8.66300010681152","","84","","148","175","","","0.779004909489379","67.93","6","12","24","28","0","","","","","","34","16","5","2","1","7","3","","","","5","3"
"Road Cycling","Bike","","","","2025-09-15","","20968.55078125","170","1427","489.769","","0.801165819168091","7.26999998092651","","79","","132","163","","","0.801572392708161","50.71","6","27","16","1","0","","","","","","34","9","2","1","0","0","1","","","","",""
"Road Cycling","Bike","","","","2025-09-16","","25842.759765625","182","1412","651.45","","0.995310544967651","7.21199989318848","","80","","133","170","","","0.800485467289129","63.27","7","36","17","3","0","","","","","","37","17","2","1","0","1","1","","","","",""
"Road Cycling","Bike","","","","2025-09-17","","20932.150390625","194","1105","520.909","","0.7465700507164","7.78800010681152","","81","","141","171","","","0.768343002033443","43.62","2","18","25","2","0","","","","","","23","16","4","1","0","0","1","","","","",""
"Road Cycling","Bike","","","","2025-09-18","","10844.33984375","101","1527","181.541","","0.51676470041275","5.8289999961853","","67","","128","164","","","0.508739703490937","13.17","7","16","8","1","0","","","","","","25","3","1","1","0","0","0","","","","",""
"Road Cycling","Bike","","","","2025-09-18","","21050.1796875","264","1277","539.504","","0.592272222042084","9.8730001449585","","83","","171","181","","","0.883818905277794","45.6","0","1","0","30","6","","","","","","18","4","2","2","2","2","5","","","","9","3"
"Mountain Biking","MTB","","","","2025-09-20","","5355.31005859375","","","","","0.283939450979233","5.23899984359741","","","","139","165","","","0.696224507092799","14.77","1","9","7","2","0","","","","","","","","","","","","","","","","",""
"Mountain Biking","MTB","","","","2025-09-20","","47007.73828125","","","","","2.39522886276245","5.4520001411438","","","","174","184","","","0.98087852255977","260.93","0","1","4","83","68","","","","","","","","","","","","","","","","9","7"
"Running","Run","","","","2025-09-22","","8707.4599609375","","","","","0.952587783336639","2.53900003433228","","152","","136","152","","","1.00990086708027","107.55","1","34","26","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-09-25","","8838.900390625","","","","","0.880821108818054","2.78699994087219","","155","","148","171","","","1.12285661168261","122.6","0","12","33","10","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-09-28","","8821.0595703125","","","","","0.880241990089417","2.78399991989136","","155","","153","170","","","1.11641040330627","121.15","0","6","34","19","0","","","","","","","","","","","","","","","","",""
"Mountain Biking","MTB","","","","2025-09-30","","26680.5703125","","","","","1.51300120353699","4.89799976348877","","","","150","187","","","0.756440081351232","96.92","1","19","49","24","3","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-10-01","","10572.240234375","","","","","0.987638592720032","2.97300004959106","","155","","155","170","","","1.16851430966214","149.36","0","3","31","28","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-10-02","","6005.4599609375","","","","","0.614344418048859","2.71499991416931","","150","","152","168","","","1.12698902737021","85.45","0","2","22","15","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-10-11","","6665.4599609375","","","","","0.67932915687561","2.7260000705719","","153","","153","167","","","1.06319160387603","60","1","0","28","36150","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-11-05","","0","","","","","0.858900308609009","0","","","","134","168","","","0.655106608098311","40.68","5","28","18","2","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-11-06","","0","","","","","0.519473075866699","0","","","","134","165","","","0.653089832418945","24.14","2","19","10","1","0","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2025-11-08","","3824.8798828125","","","","","1.15178084373474","0.921999990940094","","79","","155","180","","","0.685102719680644","60.09","4","9","19","37","4","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2025-11-08","","3487.5","","","","","0.878959715366364","1.10199999809265","","106","","120","152","","","0.306188325019031","9.1","16","38","1","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-11-09","","5941.10009765625","","","","","0.568812489509583","2.90100002288818","","155","","156","172","","","1.14840704855126","81.91","0","1","18","16","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-11-12","","6334.35986328125","","","","","0.754171669483185","2.33299994468689","","127","","","","","","0.927380425732898","71.35","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-11-12","","0","","","","","1.10854136943817","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-11-13","","0","","","","","0.962573289871216","0","","","","113","148","","","0.59724562970782","38","31","28","1","0","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-11-15","","0","","","","","1.09465754032135","0","","","","120","152","","","0.606558436452508","44.72","22","43","4","0","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-11-16","","0","","","","","0.459693342447281","0","","","","114","148","","","0.603089532553561","18.17","14","15","0","0","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-11-18","","0","","","","","0.37746250629425","0","","","","107","130","","","0.603342417513538","14.86","18","6","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-11-19","","7734.60986328125","","","","","0.83901971578598","2.56100010871887","","129","","155","179","","","1.07130553321903","106.22","1","5","19","28","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-11-19","","0","","","","","0.885300278663635","0","","","","126","162","","","0.62402973462914","38.07","12","34","10","0","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-11-20","","0","","","","","0.438126385211945","0","","","","128","159","","","0.658326257369047","20.59","7","8","12","0","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-11-22","","0","","","","","0.26060277223587","0","","","","108","161","","","0.60700342722541","10.28","10","5","1","0","0","","","","","","","","","","","","","","","","",""
"Walking","Other","","","","2025-11-23","","15996.8701171875","","","","","3.47261881828308","1.27999997138977","","20","","140","174","","","0.68579148133803","186.65","13","80","104","21","0","","","","","","","","","","","","","","","","","3"
"Strength","Strength","","","","2025-11-25","","0","","","","","0.440256655216217","0","","","","133","162","","","0.662990422013463","21","4","13","10","1","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-11-26","","4696.43994140625","","","","","0.725706100463867","1.79799997806549","","112","","152","173","","","0.864573959863329","59.62","1","5","21","19","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-11-26","","0","","","","","0.914140582084656","0","","","","128","170","","","0.638177246549728","41.15","12","29","15","1","0","","","","","","","","","","","","","","","","",""
"Walking","Other","","","","2025-11-27","","4340.22021484375","","","","","1.55766618251801","0.773999989032745","","13","","121","152","","","0.605073068186986","63.88","34","53","10","0","0","","","","","","","","","","","","","","","","",""
